method,DC,Pika,SVD,ZS,mean,min,sharpe
safe-bn/GB-100,0.9321052150909634,0.7304813455096378,0.8761458236292191,0.8023621661720458,0.8352736376004666,0.7304813455096378,0.7972674872566567
safe-lat/LogReg,0.8367079496431274,0.6883105507066993,0.7967543842233629,0.7830474708504201,0.7762050888559024,0.6883105507066993,0.748984763578458
soft-bn/LogReg,0.9278954969513752,0.765072789857157,0.8709689045817673,0.8185922868765483,0.8456323695667118,0.765072789857157,0.8153935554276935
safe-bn/LogReg,0.9054482074334125,0.7129741499729698,0.856623563854726,0.7996351339508516,0.81867026380299,0.7129741499729698,0.7828714604598629
"GB+safeLR(0.3,0.7)",0.8924744864394634,0.7108666727828081,0.8394580866261142,0.8043811081016473,0.8117950884875083,0.7108666727828081,0.7787081585512318
"GB+safeLR(0.4,0.6)",0.9056011417444109,0.7170672998427945,0.8499322684642886,0.8090941669570756,0.8204237192521424,0.7170672998427945,0.7860209068967552
"GB+safeLR(0.5,0.5)",0.9155431102938103,0.7224028557197065,0.8583703807779886,0.8124363037604491,0.8271881626379887,0.7224028557197065,0.7918535961788409
"GB+safeLR(0.6,0.4)",0.9227669346112946,0.7263337723478882,0.8649376671334823,0.8141026405884267,0.832035253670273,0.7263337723478882,0.7959717779436315
"GB+safeLR(0.7,0.3)",0.9275760066498564,0.7290228012860483,0.8698995557361052,0.8138648275793968,0.8350907978128517,0.7290228012860483,0.7984624914933657
"GB+softLR(0.3,0.7)",0.9386135916499104,0.7644902014750268,0.8817488328336827,0.8236275041853856,0.8521200325360013,0.7644902014750268,0.8196683251089868
"GB+softLR(0.4,0.6)",0.9402652202919684,0.762544957526508,0.8836340145176094,0.8237797374264602,0.8525559824406366,0.762544957526508,0.8194002784013553
"GB+softLR(0.5,0.5)",0.9410171989183149,0.7596418636401097,0.884581492415137,0.8229687868368443,0.8520523354526015,0.7596418636401097,0.8181790042346113
"GB+softLR(0.6,0.4)",0.9409487809370787,0.7558094272544589,0.8847051960091082,0.8212901067731038,0.8506883777434373,0.7558094272544589,0.8160741123573159
"GB+softLR(0.7,0.3)",0.9400621334336384,0.7509310270297167,0.8838426307020102,0.8184297676056715,0.8483163896927592,0.7509310270297167,0.8129111337838522
"GB+safeBnLR(0.3,0.7)",0.9230789949058016,0.7252535995824438,0.870817711300247,0.8084243406963478,0.83189366162121,0.7252535995824438,0.7950216206331997
"GB+safeBnLR(0.4,0.6)",0.9270444515648679,0.7278907968140087,0.8738693720591761,0.8102638942661968,0.8347671286760625,0.7278907968140087,0.7976296740598416
"GB+safeBnLR(0.5,0.5)",0.930007476444556,0.7299459239805093,0.8762066063827999,0.8112254323321186,0.836846359784996,0.7299459239805093,0.7995030556929044
"GB+safeBnLR(0.6,0.4)",0.9320705417249071,0.7313147993516891,0.8777490832952806,0.811473942812143,0.8381520917960049,0.7313147993516891,0.8006399873638362
"GB+safeBnLR(0.7,0.3)",0.9333463358456044,0.7322897537527451,0.8785105476403922,0.810683975723324,0.8387076532405164,0.7322897537527451,0.8010821578278218
"3way(0.40,0.30,0.30)",0.9297947924938355,0.7458738074172209,0.8722355682958379,0.8223652026080435,0.8425673427037343,0.7458738074172209,0.8087973506274484
"3way(0.50,0.25,0.25)",0.9327606036261531,0.745307805181201,0.8752139232213026,0.8221389099523921,0.8438553104952622,0.745307805181201,0.8093311101108265
"3way(0.30,0.40,0.30)",0.9221973007403692,0.7417941337911109,0.8652052334256274,0.8202446347039949,0.8373603256652756,0.7417941337911109,0.8043844868449304
"3way(0.30,0.30,0.40)",0.928107252151219,0.7494232426848616,0.8708513098072515,0.8227379683280799,0.842779943242853,0.7494232426848616,0.810006187007971
"3way(0.50,0.30,0.20)",0.9301412165707732,0.7414147256988339,0.8724722850497333,0.820968771202079,0.8412492496303547,0.7414147256988339,0.8065587522812523
"3way(0.40,0.40,0.20)",0.9235706137031,0.7376838794581099,0.866210745107981,0.8194772968807409,0.836735633787483,0.7376838794581099,0.8027152390285901
"3way(0.60,0.20,0.20)",0.934571667835345,0.7438674020549199,0.8771882936692779,0.8206062915118447,0.8440584137678468,0.7438674020549199,0.8088106487938969
"3way(0.50,0.20,0.30)",0.9350440924478624,0.7489344696916687,0.8776559237985861,0.8230045822205564,0.8461597670396683,0.7489344696916687,0.8118074088398062
