config,method,DC,Pika,SVD,ZS,mean,min,sharpe
A: z0(59D)+physics,safe(g<=0.60)/GB+softLR(0.5),0.9203038048108471,0.6846885762652501,0.8722828408880905,0.7434386461968245,0.8051784670402531,0.6846885762652501,0.7576873760052926
A: z0(59D)+physics,safe(g<=0.60)/GB+softLR(0.6),0.9203932302523852,0.6864948255876981,0.8779489584430398,0.7530096760372578,0.8094616725800952,0.6864948255876981,0.7624882810526853
A: z0(59D)+physics,safe(g<=0.60)/GB+softLR(0.7),0.91911347967686,0.6869579236749862,0.8815544167062438,0.7608015235981881,0.8121068359140695,0.6869579236749862,0.7656257419122349
A: z0(59D)+physics,safe(g<=0.60)/bn-GB,0.9067091236105321,0.6800136761259872,0.8790057169882183,0.7728575638774484,0.8096465201505465,0.6800136761259872,0.7646535007406168
A: z0(59D)+physics,safe(g<=0.60)/bn-LR,0.8687363419757785,0.7033737223802018,0.8538934935229325,0.7494572552943304,0.7938652032933109,0.7033737223802018,0.7590712948835505
A: z0(59D)+physics,safe(g<=0.65)/GB+softLR(0.5),0.9235734728692475,0.7074259696289934,0.8568098132688973,0.7550053122856202,0.8107036420131896,0.7074259696289934,0.7683997124580686
A: z0(59D)+physics,safe(g<=0.65)/GB+softLR(0.6),0.9246272429371022,0.7140071883052445,0.8611437553280065,0.7664308127425511,0.816552249828226,0.7140071883052445,0.7757047785199355
A: z0(59D)+physics,safe(g<=0.65)/GB+softLR(0.7),0.9245277470629583,0.7191157217075143,0.8641244582572426,0.7757943043382428,0.8208905578414896,0.7191157217075143,0.7813608012609935
A: z0(59D)+physics,safe(g<=0.65)/bn-GB,0.9177781403133516,0.725798121478467,0.8659057263277541,0.7907598425879375,0.8250604576768776,0.725798121478467,0.7885789142030828
A: z0(59D)+physics,safe(g<=0.65)/bn-LR,0.8800994153106829,0.7263429427576296,0.8448536176791452,0.7728020882607156,0.8060245160020434,0.7263429427576296,0.77597489800908
A: z0(59D)+physics,safe(g<=0.70)/GB+softLR(0.5),0.9224149703022942,0.6676089851035855,0.8487233649354082,0.7269534723030554,0.7914251981610858,0.6676089851035855,0.741469931689273
A: z0(59D)+physics,safe(g<=0.70)/GB+softLR(0.6),0.9231920048821458,0.6661924497777629,0.8516595560342344,0.7335704255524653,0.7936536090616522,0.6661924497777629,0.7436528453534068
A: z0(59D)+physics,safe(g<=0.70)/GB+softLR(0.7),0.9229720666340385,0.6639247701882691,0.8533927354308208,0.7386944903301542,0.7947460156458206,0.6639247701882691,0.7446602581600024
A: z0(59D)+physics,safe(g<=0.70)/bn-GB,0.9158244763878565,0.6500824181169753,0.852570458849409,0.7449790851971738,0.7908641096378537,0.6500824181169753,0.7400287830143363
A: z0(59D)+physics,safe(g<=0.70)/bn-LR,0.8839294022392614,0.6318737126512504,0.8207540383556854,0.7478558921791765,0.7711032613563433,0.6318737126512504,0.7242522707521857
A: z0(59D)+physics,safe_max(g<=0.70)/GB+softLR(0.5),0.9203038048108471,0.6846885762652501,0.8722828408880905,0.7434386461968245,0.8051784670402531,0.6846885762652501,0.7576873760052926
A: z0(59D)+physics,safe_max(g<=0.70)/GB+softLR(0.6),0.9203932302523852,0.6864948255876981,0.8779489584430398,0.7530096760372578,0.8094616725800952,0.6864948255876981,0.7624882810526853
A: z0(59D)+physics,safe_max(g<=0.70)/GB+softLR(0.7),0.91911347967686,0.6869579236749862,0.8815544167062438,0.7608015235981881,0.8121068359140695,0.6869579236749862,0.7656257419122349
A: z0(59D)+physics,safe_max(g<=0.70)/bn-GB,0.9067091236105321,0.6800136761259872,0.8790057169882183,0.7728575638774484,0.8096465201505465,0.6800136761259872,0.7646535007406168
A: z0(59D)+physics,safe_max(g<=0.70)/bn-LR,0.8687363419757785,0.7033737223802018,0.8538934935229325,0.7494572552943304,0.7938652032933109,0.7033737223802018,0.7590712948835505
A: z0(59D)+physics,safe_max(g<=0.75)/GB+softLR(0.5),0.9243335891223214,0.7053956764539918,0.8575263742530854,0.7577686914441244,0.8112560828183808,0.7053956764539918,0.7686864421009144
A: z0(59D)+physics,safe_max(g<=0.75)/GB+softLR(0.6),0.9254493930550268,0.7116094187368485,0.8618694571345111,0.7696201653866824,0.8171371085782672,0.7116094187368485,0.7759618071301669
A: z0(59D)+physics,safe_max(g<=0.75)/GB+softLR(0.7),0.925424821199469,0.7160719497652543,0.8652654713385541,0.7795587211879708,0.821580240872812,0.7160719497652543,0.7815881292810203
A: z0(59D)+physics,safe_max(g<=0.75)/bn-GB,0.9181338279929828,0.720181458842366,0.8676496362548859,0.7963475250197508,0.8255781120274963,0.720181458842366,0.7882456065629687
A: z0(59D)+physics,safe_max(g<=0.75)/bn-LR,0.8827753306626547,0.7258526036063834,0.8454688347637396,0.7604245865952087,0.8036303389069966,0.7258526036063834,0.7720763151967809
A: z0(59D)+physics,safe_max(g<=0.80)/GB+softLR(0.5),0.9226631057616973,0.7019065965070285,0.8589487656909169,0.7545758715739472,0.8095235848833975,0.7019065965070285,0.7663349962085777
A: z0(59D)+physics,safe_max(g<=0.80)/GB+softLR(0.6),0.9234453769665038,0.7075977551139537,0.863634033268619,0.7658587204449937,0.8151339714485175,0.7075977551139537,0.7732444554966936
A: z0(59D)+physics,safe_max(g<=0.80)/GB+softLR(0.7),0.9231940189686669,0.7119307521035383,0.8671413270486867,0.7751206718493441,0.819346692492559,0.7119307521035383,0.7786015091421149
A: z0(59D)+physics,safe_max(g<=0.80)/bn-GB,0.9153092730557518,0.716218162006499,0.8702217841692882,0.7900767990569145,0.8229565045721133,0.716218162006499,0.7848471312907175
A: z0(59D)+physics,safe_max(g<=0.80)/bn-LR,0.8819282058718678,0.7296163179532509,0.8459560803359053,0.7650617537724658,0.8056405894833725,0.7296163179532509,0.7751534292902504
A: z0(59D)+physics,soft(l=0.2)/GB+softLR(0.5),0.9388007726035895,0.6844812106151199,0.8671242376852257,0.6522268259279164,0.7856582617079629,0.6522268259279164,0.7253828118923905
A: z0(59D)+physics,soft(l=0.2)/GB+softLR(0.6),0.9423270352847817,0.6864914899472137,0.8728909042856546,0.6438004760006042,0.7863774763795635,0.6438004760006042,0.7240726564148229
A: z0(59D)+physics,soft(l=0.2)/GB+softLR(0.7),0.9448216828498519,0.6872964911841802,0.8773444718889907,0.6347668661972703,0.7860573780300733,0.6347668661972703,0.721742736553903
A: z0(59D)+physics,soft(l=0.2)/bn-GB,0.9460305375798332,0.6820645390839775,0.8832502379594506,0.6046896708859505,0.7790087463773029,0.6046896708859505,0.7089427566285027
A: z0(59D)+physics,soft(l=0.2)/bn-LR,0.8957206703685576,0.6644751508682394,0.8178242060897749,0.7443029761182423,0.7805807508612035,0.6644751508682394,0.7376849007475635
A: z0(59D)+physics,soft(l=0.3)/GB+softLR(0.5),0.9394368211269619,0.6854574413969663,0.8650059514701821,0.650724526414071,0.7851561851020453,0.650724526414071,0.724849567412074
